,state,participation_2017,english_2017,math_2017,total_2017,participation_2018,english_2018,math_2018,total_2018,participation_2019,english_2019,math_2019,total_2019,cost_index_2019,housing_cost_2019,cost_index_2020,housing_cost_2020,cost_index_2021,housing_cost_2021
0,Alabama,5.0,593.0,572.0,1165.0,6.0,595.0,571.0,1166.0,7.0,583.0,560.0,1143.0,89.2,69.9,89.3,71.5,87.9,70.1
1,Alaska,38.0,547.0,533.0,1080.0,43.0,562.0,544.0,1106.0,41.0,556.0,541.0,1097.0,128.3,134.6,129.9,133.9,127.1,126.9
2,Arizona,30.0,563.0,553.0,1116.0,29.0,577.0,572.0,1149.0,31.0,569.0,565.0,1134.0,99.6,99.4,97.0,91.7,103.2,107.7
3,Arkansas,3.0,614.0,594.0,1208.0,5.0,592.0,576.0,1169.0,6.0,582.0,559.0,1141.0,87.1,73.9,86.9,73.9,90.9,79.1
4,California,53.0,531.0,524.0,1055.0,60.0,540.0,536.0,1076.0,63.0,534.0,531.0,1065.0,137.7,194.8,151.7,227.3,142.2,201.9
5,Colorado,11.0,606.0,595.0,1201.0,100.0,519.0,506.0,1025.0,100.0,518.0,506.0,1024.0,104.8,119.4,105.6,119.0,105.3,116.4
6,Connecticut,100.0,530.0,512.0,1041.0,100.0,535.0,519.0,1053.0,100.0,529.0,516.0,1046.0,126.5,144.3,127.7,144.7,121.6,134.6
7,Delaware,100.0,503.0,492.0,996.0,100.0,505.0,492.0,998.0,100.0,499.0,486.0,985.0,107.9,97.8,108.1,98.2,107.9,103.1
8,District of Columbia,100.0,482.0,468.0,950.0,92.0,497.0,480.0,977.0,94.0,495.0,480.0,975.0,159.0,274.0,158.4,267.0,158.1,256.9
9,Florida,83.0,520.0,497.0,1017.0,56.0,550.0,549.0,1099.0,100.0,516.0,483.0,999.0,98.2,95.9,97.9,95.4,100.3,99.0
10,Georgia,61.0,535.0,515.0,1050.0,70.0,542.0,522.0,1064.0,71.0,538.0,519.0,1058.0,89.2,72.2,89.2,73.8,88.8,74.4
11,Hawaii,55.0,544.0,541.0,1085.0,56.0,480.0,530.0,1010.0,54.0,550.0,550.0,1100.0,191.8,328.9,192.9,318.6,193.3,315.0
12,Idaho,93.0,513.0,493.0,1005.0,100.0,508.0,493.0,1001.0,100.0,505.0,488.0,993.0,93.3,88.6,92.3,87.1,102.1,110.4
13,Illinois,9.0,559.0,556.0,1115.0,99.0,513.0,506.0,1019.0,100.0,509.0,504.0,1013.0,94.9,85.7,94.5,87.2,94.3,86.6
14,Indiana,63.0,542.0,532.0,1074.0,63.0,542.0,532.0,1074.0,66.0,543.0,537.0,1080.0,90.9,77.3,90.0,77.3,90.6,78.3
15,Iowa,2.0,641.0,635.0,1275.0,3.0,634.0,631.0,1265.0,3.0,622.0,622.0,1244.0,91.9,78.5,90.1,79.6,89.9,76.0
16,Kansas,4.0,632.0,628.0,1260.0,4.0,633.0,631.0,1265.0,4.0,618.0,623.0,1241.0,88.5,72.5,89.0,73.8,86.5,72.6
17,Kentucky,4.0,631.0,616.0,1247.0,4.0,630.0,618.0,1248.0,4.0,620.0,612.0,1232.0,93.1,80.9,90.9,77.4,93.1,79.9
18,Louisiana,4.0,611.0,586.0,1198.0,4.0,615.0,595.0,1210.0,5.0,610.0,591.0,1200.0,93.1,85.2,93.9,86.6,93.0,86.0
19,Maine,95.0,513.0,499.0,1012.0,99.0,512.0,501.0,1013.0,99.0,512.0,502.0,1013.0,116.6,127.8,117.5,123.1,115.0,136.6
20,Maryland,69.0,536.0,520.0,1060.0,76.0,545.0,535.0,1080.0,82.0,535.0,523.0,1058.0,127.6,180.9,129.7,184.5,124.0,165.9
21,Massachusetts,76.0,555.0,551.0,1107.0,80.0,562.0,563.0,1125.0,81.0,559.0,561.0,1120.0,130.1,169.8,131.6,170.3,135.0,177.6
22,Michigan,100.0,509.0,495.0,1005.0,100.0,511.0,499.0,1011.0,100.0,507.0,496.0,1003.0,89.8,75.5,88.9,75.2,91.3,80.7
23,Minnesota,3.0,644.0,651.0,1295.0,4.0,643.0,655.0,1298.0,4.0,636.0,648.0,1284.0,101.5,88.0,101.6,88.3,100.0,90.2
24,Mississippi,2.0,634.0,607.0,1242.0,3.0,630.0,606.0,1236.0,3.0,628.0,608.0,1237.0,84.8,67.3,86.1,70.1,83.3,66.3
25,Missouri,3.0,640.0,631.0,1271.0,4.0,633.0,629.0,1262.0,4.0,622.0,615.0,1236.0,88.5,70.6,87.1,70.6,89.8,80.3
26,Montana,10.0,605.0,591.0,1196.0,10.0,606.0,592.0,1198.0,9.0,603.0,596.0,1199.0,106.3,117.8,106.9,111.6,100.7,106.3
27,Nebraska,3.0,629.0,625.0,1253.0,3.0,629.0,623.0,1252.0,3.0,628.0,631.0,1260.0,91.6,82.1,90.8,80.9,93.7,86.6
28,Nevada,26.0,563.0,553.0,1116.0,23.0,574.0,566.0,1140.0,20.0,580.0,576.0,1156.0,108.4,120.7,108.5,121.8,106.3,117.9
29,New Hampshire,96.0,532.0,520.0,1052.0,96.0,535.0,528.0,1063.0,95.0,533.0,526.0,1059.0,108.5,108.4,109.7,110.3,109.9,108.1
30,New Jersey,70.0,530.0,526.0,1056.0,82.0,547.0,547.0,1094.0,82.0,544.0,545.0,1090.0,123.7,162.8,125.1,163.1,115.2,136.6
31,New Mexico,11.0,577.0,561.0,1138.0,16.0,552.0,540.0,1093.0,18.0,543.0,530.0,1073.0,88.2,77.9,87.5,77.7,91.0,84.3
32,New York,67.0,528.0,523.0,1052.0,79.0,534.0,534.0,1068.0,79.0,531.0,533.0,1064.0,137.3,206.5,139.1,204.4,148.2,230.1
33,North Carolina,49.0,546.0,535.0,1081.0,52.0,554.0,543.0,1098.0,51.0,554.0,546.0,1100.0,95.0,82.4,94.9,83.1,95.7,88.6
34,North Dakota,2.0,635.0,621.0,1256.0,2.0,640.0,643.0,1283.0,2.0,627.0,636.0,1263.0,97.8,92.3,98.8,90.3,98.2,95.4
35,Ohio,12.0,578.0,570.0,1149.0,18.0,552.0,547.0,1099.0,19.0,550.0,548.0,1097.0,92.8,77.1,90.8,73.6,91.3,76.5
36,Oklahoma,7.0,530.0,517.0,1047.0,8.0,541.0,521.0,1062.0,22.0,490.0,472.0,963.0,86.5,70.3,87.0,71.9,87.9,74.7
37,Oregon,43.0,560.0,548.0,1108.0,48.0,564.0,553.0,1117.0,51.0,562.0,550.0,1112.0,134.0,184.3,134.2,181.8,130.1,172.6
38,Pennsylvania,65.0,540.0,531.0,1071.0,70.0,547.0,539.0,1086.0,70.0,545.0,537.0,1082.0,102.4,102.1,101.7,100.8,102.5,98.0
39,Rhode Island,71.0,539.0,524.0,1062.0,97.0,513.0,505.0,1018.0,100.0,503.0,492.0,995.0,118.7,131.3,119.4,129.4,117.2,121.7
40,South Carolina,50.0,543.0,521.0,1064.0,55.0,547.0,523.0,1070.0,68.0,526.0,504.0,1030.0,96.5,85.9,95.9,85.1,93.6,79.6
41,South Dakota,3.0,612.0,603.0,1216.0,3.0,622.0,618.0,1240.0,3.0,633.0,635.0,1268.0,100.7,110.6,99.8,109.8,101.0,112.8
42,Tennessee,5.0,623.0,604.0,1228.0,6.0,624.0,607.0,1231.0,7.0,618.0,602.0,1220.0,88.6,72.5,88.7,80.2,89.0,79.3
43,Texas,62.0,513.0,507.0,1020.0,66.0,520.0,512.0,1032.0,68.0,515.0,507.0,1022.0,91.9,85.3,91.5,85.3,92.1,83.8
44,Utah,3.0,624.0,614.0,1238.0,4.0,480.0,530.0,1010.0,4.0,614.0,615.0,1230.0,97.4,92.0,98.4,93.6,99.0,98.4
45,Vermont,60.0,562.0,551.0,1114.0,64.0,565.0,554.0,1120.0,66.0,560.0,546.0,1106.0,114.3,130.6,114.5,126.7,117.0,136.2
46,Virginia,65.0,561.0,541.0,1102.0,68.0,567.0,550.0,1117.0,68.0,567.0,551.0,1119.0,101.4,111.1,100.7,108.0,101.8,111.5
47,Washington,64.0,541.0,534.0,1075.0,69.0,543.0,538.0,1081.0,70.0,539.0,535.0,1074.0,110.1,117.6,110.7,117.8,111.6,119.0
48,West Virginia,14.0,558.0,528.0,1086.0,28.0,513.0,486.0,999.0,99.0,483.0,460.0,943.0,90.9,81.2,91.1,79.6,90.5,78.6
49,Wisconsin,3.0,642.0,649.0,1291.0,3.0,641.0,653.0,1294.0,3.0,635.0,648.0,1283.0,96.4,88.0,97.3,91.4,96.4,88.4
50,Wyoming,3.0,626.0,604.0,1230.0,3.0,633.0,625.0,1257.0,3.0,623.0,615.0,1238.0,101.7,100.8,89.3,72.3,94.3,81.3
