*Rank*,*State*,*Index*,* Grocery*,*Housing*,*Utilities*,*Transportation*,*Health *,*Misc.*
1,Mississippi,83.3,92.2,66.3,90.4,86.7,94.7,90.9
2,Kansas,86.5,91.7,72.6,100.2,97.3,100.4,88.4
3,Alabama,87.9,98.2,70.1,100.7,92.7,91.2,94.3
4,Oklahoma,87.9,94.5,74.7,95.1,94.8,94.5,92.6
5,Georgia,88.8,95.9,74.4,90.5,92.6,96.7,97.1
6,Tennessee,89,94.7,79.3,92.5,88.8,91.2,94.2
*7*,*Missouri *,*89.8*,*95.0*,*80.3*,*95.4*,*92.4*,*94.6*,*93.3*
8,Iowa,89.9,98.4,76,94.9,97.7,99.9,94.2
9,West Virginia,90.5,96.5,78.6,89.4,92.2,88.1,99.7
10,Indiana,90.6,92.7,78.3,99,98.3,94.6,96.8
11,Arkansas,90.9,93.1,79.1,92.3,92.3,84.9,102.1
12,New Mexico,91,95.5,84.3,89.6,98.1,98.7,92.9
13,Ohio,91.3,99.2,76.5,92,98.6,97.2,99.1
14,Michigan,91.3,90.1,80.7,99.7,103.2,96.3,96.3
15,Texas,92.1,90.8,83.8,103.2,94.1,95.2,96.8
16,Louisiana,93,96.8,86,87,96.5,99.4,98.2
17,Kentucky,93.1,92.1,79.9,104.7,103,81.6,102.6
18,South Carolina,93.6,99.5,79.6,105.2,95.2,95.7,99.9
19,Nebraska,93.7,98.6,86.6,89.3,100.2,100.8,97
20,Illinois,94.3,98.4,86.6,96.5,105.8,96.5,95.8
21,Wyoming,94.3,102.7,81.3,85.2,99.9,99.8,104
22,North Carolina,95.7,97.6,88.6,97.7,92.8,109,100.1
23,Wisconsin,96.4,99.5,88.4,99.4,99.5,111.9,98.6
24,North Dakota,98.2,101,95.4,95.2,104.2,113.3,96.7
25,Utah,99,97.3,98.4,90.9,109.9,93.9,101.2
26,Minnesota,100,103.9,90.2,96.5,99.4,106.9,108.4
27,Florida,100.3,105.6,99,105.3,98.8,97.7,97.7
28,Montana,100.7,103.4,106.3,88,94.7,100.9,99.1
29,South Dakota,101,102.1,112.8,91.8,89.7,97.4,94.6
30,Virginia,101.8,95.2,111.5,96.7,90.4,100.9,100.4
31,Idaho,102.1,93.8,110.4,82.3,111.7,102.8,102.7
32,Pennsylvania,102.5,107.8,98,109.7,105.6,95.4,102
33,Arizona,103.2,101.5,107.7,104.8,98.8,97.9,100.9
34,Colorado,105.3,98.1,116.4,88.4,105.6,97.9,104.6
35,Nevada,106.3,107,117.9,88.4,119.7,101.2,97.3
36,Delaware,107.9,114,103.1,96.5,113,106.5,112.3
37,New Hampshire,109.9,103.6,108.1,113.6,97.2,115.8,116.4
38,Washington,111.6,108.4,119,90.8,117.4,121.2,109.8
39,Maine,115,102.2,136.6,102.3,104.6,112.8,107.3
40,New Jersey,115.2,107.3,136.6,104.6,105.5,97.2,106.3
41,Vermont,117,109.2,136.2,119,114.2,99.3,104.3
42,Rhode Island,117.2,107.7,121.7,127.6,107.6,105.8,118.6
43,Connecticut,121.6,106.4,134.6,132.4,111.1,111.3,117.5
44,Maryland,124,110.4,165.9,105.1,107.6,82.8,105.2
45,Alaska,127.1,134.5,126.9,154.8,109.9,154.2,114
46,Oregon,130.1,107.8,172.6,90.2,125.9,115.7,115.6
47,Massachusetts,135,119.3,177.6,111.1,111.3,118.8,116.5
48,California,142.2,113.7,201.9,124.3,131.7,110.7,110.3
49,New York,148.2,118.4,230.1,99.8,108.7,102.5,113.7
50,District of Columbia,158.1,110.7,256.9,109.6,103.8,90.8,123.3
51,Hawaii,193.3,152.9,315,164.2,133.7,115.3,126.7
*US *,*****,*100.0*,*100.0*,*100.0*,*100.0*,*100.0*,*100.0*,*100.0*